"",BBEX3.D.TRY.EUR.BB.AC.000,BBEX3.D.TRY.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = TRY ... / Turkey / from January 2005,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15. Currency conversion with effect from 1 January 2005: TRL 1,000,000 = TRY 1. Up to the end of 2004, see BBEX3:D:TRL:EUR:BB:AC:000.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,TRY,
unit multiplier,One,
last update,2025-01-31 16:00:08,
2005-04-13,1.7373,
2005-04-14,1.7472,
2005-04-15,1.7776,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,1.7934,
2005-04-19,1.7890,
2005-04-20,1.7730,
2005-04-21,1.7813,
2005-04-22,1.7762,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,1.7720,
2005-04-26,1.7662,
2005-04-27,1.7763,
2005-04-28,1.7893,
2005-04-29,1.8031,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,1.7838,
2005-05-03,1.7673,
2005-05-04,1.7534,
2005-05-05,1.7352,
2005-05-06,1.7476,
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,1.7383,
2005-05-10,1.7496,
2005-05-11,1.7636,
2005-05-12,1.7316,
2005-05-13,1.7298,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,1.7469,
2005-05-17,1.7460,
2005-05-18,1.7380,
2005-05-19,1.7266,
2005-05-20,1.7228,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,1.7422,
2005-05-24,1.7504,
2005-05-25,1.7455,
2005-05-26,1.7358,
2005-05-27,1.7280,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,1.7134,
2005-05-31,1.6748,
2005-06-01,1.6718,
2005-06-02,1.6549,
2005-06-03,1.6793,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,1.6741,
2005-06-07,1.6719,
2005-06-08,1.6840,
2005-06-09,1.6741,
2005-06-10,1.6652,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,1.6631,
2005-06-14,1.6618,
